,feature,importance
266,acti,0.0008744945930554365
257,__START___PRP_MD_VB,0.00087199750437262
37,DT_NN_NN___END__,0.000870056993851672
400,east,0.0008639514776270707
77,IN_JJ_NN,0.0008594148017573247
197,RB_VB_DT_NN,0.0008548606063614076
499,houg,0.0008527102005549639
20,DT_NNP_NN,0.0008504031325446183
812,tain,0.0008327711994159014
886,very,0.0008190171525592651
510,iden,0.0008067620543442619
344,chan,0.0008065939449737009
628,no,0.0007831428716608079
300,arly,0.0007771047517307722
36,DT_NN_NN_IN,0.0007658483886793184
240,VB_IN_DT_NN,0.0007606767678597057
306,at,0.0007602696374246563
349,cial,0.000759164010815657
228,VBZ_DT_JJ,0.0007556814021358871
724,real,0.0007456943965375314
591,mati,0.0006981590506194454
157,NN_IN_PRP$,0.0006981421124547722
31,DT_NN_IN_PRP,0.0006872168765282055
312,atin,0.0006723241777058332
218,VBD_DT_NN,0.0006602749795595829
889,ving,0.0006599328502524874
399,easo,0.0006495382555411123
12,DT_JJ_NNS,0.0006476883277012794
224,VBN_IN_DT_NN,0.0006467122128666473
594,mean,0.0006461842193670646
52,F,0.000637196649839599
214,U,0.0006298734797246645
892,was,0.0005930910045256768
734,requ,0.0005862054320458901
241,VB_TO_VB,0.0005846479391224578
697,pers,0.0005844794805270959
160,NN_IN_VBG,0.0005800787418882229
789,spec,0.0005578664988066689
164,NN_NN_NN,0.0005478996205480776
725,reas,0.0005394466002309397
328,bili,0.0005381516208467138
119,MD_VB_VBN,0.0005315196997196532
177,P,0.0005313184132571235
709,prob,0.0005168424272143641
220,VBG_DT_NN,0.0005156050122221196
205,Syllables,0.0005071716255940311
834,them,0.0005046739601930554
640,ntio,0.0004995727163075285
459,for,0.00048276299251210275
385,do,0.0004739575520173314
11,DT_JJ_NN,0.00046676814264424613
321,because,0.00045890853680221027
184,PRP_VBP_IN,0.0004539740192737553
327,between,0.00043014676424385474
225,VBP_DT_NN,0.0003771410809892612
247,Yule Vocabulary Richness,0.0003734059912365629
782,sing,0.00036742310102979507
255,__START___IN_DT_NN,0.0003636836218212942
78,IN_JJ_NNS,0.0003604032897642172
49,E,0.00035321192666014947
98,JJ_NNS_IN_DT,0.0003267348623472816
836,then,0.000320154332687853
148,NN_IN_NN,0.0003064988780422323
259,a,0.0002760555582893288
176,O,0.00027106521661709733
666,or,0.00026161931385620154
354,come,0.00022652916017926333
174,NN_WDT_VBZ,0.00022378926890483694
685,ower,0.0
680,our,0.0
690,pare,0.0
671,osit,0.0
698,phil,0.0
689,para,0.0
688,own,0.0
681,ours,0.0
691,part,0.0
687,owin,0.0
693,pect,0.0
684,over,0.0
673,ossi,0.0
695,peop,0.0
696,peri,0.0
672,osop,0.0
670,orta,0.0
674,othe,0.0
694,pend,0.0
683,out,0.0
682,ourselves,0.0
627,niti,0.0
669,orma,0.0
668,orld,0.0
601,mmen,0.0
602,mode,0.0
603,more,0.0
604,most,0.0
605,move,0.0
608,much,0.0
609,mustn,0.0
610,mustn't,0.0
612,myself,0.0
613,name,0.0
614,nati,0.0
615,nces,0.0
618,ndin,0.0
619,need,0.0
620,needn,0.0
600,ming,0.0
599,mightn't,0.0
598,mightn,0.0
581,logi,0.0
574,lish,0.0
575,list,0.0
576,lity,0.0
577,ll,0.0
579,llin,0.0
580,llow,0.0
583,look,0.0
590,mate,0.0
584,loso,0.0
585,m,0.0
586,ma,0.0
587,main,0.0
588,make,0.0
589,many,0.0
621,needn't,0.0
622,nera,0.0
623,ness,0.0
657,on,0.0
651,oint,0.0
652,ollo,0.0
653,olog,0.0
654,omet,0.0
655,omme,0.0
656,ompl,0.0
658,onal,0.0
649,ogic,0.0
659,once,0.0
662,onst,0.0
663,ontr,0.0
664,oper,0.0
665,ople,0.0
667,orde,0.0
650,oing,0.0
648,off,0.0
624,nfor,0.0
635,nswe,0.0
625,ngua,0.0
629,nor,0.0
630,not,0.0
631,note,0.0
632,noth,0.0
633,now,0.0
636,nted,0.0
647,of,0.0
639,ntin,0.0
642,numb,0.0
643,o,0.0
644,obje,0.0
645,oble,0.0
646,oduc,0.0
699,plac,0.0
0,A,0.0
700,play,0.0
865,ture,0.0
856,too,0.0
857,tori,0.0
859,tran,0.0
860,truc,0.0
861,tter,0.0
862,ttin,0.0
863,ttle,0.0
864,tual,0.0
866,turn,0.0
854,tive,0.0
867,uage,0.0
868,uall,0.0
870,ught,0.0
871,ular,0.0
872,ulat,0.0
873,umbe,0.0
874,umen,0.0
875,unde,0.0
855,to,0.0
853,tion,0.0
819,tati,0.0
830,that'll,0.0
821,tely,0.0
822,tent,0.0
823,tere,0.0
824,term,0.0
825,tern,0.0
826,ters,0.0
827,test,0.0
829,that,0.0
831,the,0.0
850,till,0.0
833,theirs,0.0
835,themselves,0.0
837,theo,0.0
838,ther,0.0
846,through,0.0
847,tial,0.0
848,tica,0.0
849,ties,0.0
876,under,0.0
877,unit,0.0
878,until,0.0
924,xper,0.0
913,won,0.0
914,won't,0.0
915,word,0.0
917,worl,0.0
919,wouldn,0.0
920,wouldn't,0.0
921,writ,0.0
923,xist,0.0
925,y,0.0
881,usin,0.0
926,year,0.0
929,you'd,0.0
930,you'll,0.0
931,you're,0.0
932,you've,0.0
934,yours,0.0
935,yourself,0.0
936,yourselves,0.0
912,with,0.0
911,wing,0.0
910,will,0.0
908,whom,0.0
882,utio,0.0
883,ve,0.0
884,vent,0.0
885,vers,0.0
888,view,0.0
890,want,0.0
891,ward,0.0
893,wasn,0.0
894,wasn't,0.0
895,ways,0.0
896,we,0.0
898,were,0.0
899,weren,0.0
900,weren't,0.0
902,what,0.0
904,where,0.0
906,while,0.0
820,team,0.0
818,tate,0.0
701,poin,0.0
746,riti,0.0
737,ress,0.0
738,rest,0.0
739,resu,0.0
740,rica,0.0
741,rien,0.0
742,ries,0.0
743,righ,0.0
745,rist,0.0
747,rman,0.0
735,rese,0.0
748,robl,0.0
749,rodu,0.0
750,rong,0.0
751,rope,0.0
752,roun,0.0
753,rson,0.0
754,rsta,0.0
757,rule,0.0
736,resp,0.0
731,reme,0.0
817,tart,0.0
716,rall,0.0
703,pose,0.0
704,posi,0.0
706,post,0.0
708,pret,0.0
711,prov,0.0
712,ptio,0.0
714,quir,0.0
715,ract,0.0
717,rans,0.0
730,rela,0.0
718,rate,0.0
719,rati,0.0
720,rder,0.0
721,rdin,0.0
722,re,0.0
726,reat,0.0
727,reco,0.0
729,refe,0.0
758,s,0.0
760,scie,0.0
762,seco,0.0
803,stri,0.0
794,stat,0.0
795,sted,0.0
796,ster,0.0
797,stic,0.0
798,stil,0.0
799,stin,0.0
801,stor,0.0
802,stra,0.0
804,stru,0.0
763,seem,0.0
806,supp,0.0
807,sure,0.0
808,swer,0.0
809,t,0.0
810,tabl,0.0
811,tack,0.0
814,tanc,0.0
816,tant,0.0
793,star,0.0
791,ssio,0.0
788,soph,0.0
785,sive,0.0
764,sens,0.0
766,serv,0.0
767,shan,0.0
768,shan't,0.0
769,she,0.0
770,she's,0.0
771,should,0.0
772,should've,0.0
773,shouldn,0.0
774,shouldn't,0.0
775,show,0.0
777,sica,0.0
779,sign,0.0
780,simp,0.0
781,sinc,0.0
783,sion,0.0
784,siti,0.0
572,line,0.0
469,guag,0.0
570,liev,0.0
216,V,0.0
219,VBD_DT_NN_IN,0.0
221,VBG_DT_NN_IN,0.0
222,VBN_IN_DT,0.0
223,VBN_IN_DT_JJ,0.0
226,VBP_DT_NN_IN,0.0
227,VBP_TO_VB,0.0
233,VBZ_IN_DT_NN,0.0
234,VBZ_RB_JJ,0.0
242,VB_VBN_IN,0.0
243,W,0.0
245,X,0.0
246,Y,0.0
248,Z,0.0
249,__START___DT_JJ,0.0
250,__START___DT_JJ_NN,0.0
253,__START___DT_NN_VBZ,0.0
254,__START___IN_DT,0.0
256,__START___IN_PRP_VBP,0.0
261,ably,0.0
217,VBD_DT_JJ_NN,0.0
213,TO_VB_IN_DT,0.0
264,acce,0.0
212,TO_VB_IN,0.0
171,NN_VBZ_DT_NN,0.0
173,NN_VBZ_RB,0.0
181,PRP_MD_VB_IN,0.0
183,PRP_VBP_DT_NN,0.0
186,PRP_VBP_TO_VB,0.0
189,Quotations,0.0
190,R,0.0
191,RB_DT_JJ_NN,0.0
193,RB_DT_NN_IN,0.0
195,RB_IN_DT_NN,0.0
196,RB_JJ_IN,0.0
198,S,0.0
199,STDEV Sentence Length,0.0
204,Special characters,0.0
206,T,0.0
208,TO_DT_NN_IN,0.0
209,TO_VB_DT,0.0
210,TO_VB_DT_JJ,0.0
211,TO_VB_DT_NN,0.0
263,above,0.0
265,acco,0.0
168,NN_TO_VB,0.0
297,aren't,0.0
299,argu,0.0
303,ased,0.0
304,ason,0.0
305,assi,0.0
307,ated,0.0
308,ater,0.0
309,ates,0.0
310,athe,0.0
311,atic,0.0
313,atio,0.0
314,ativ,0.0
315,atte,0.0
316,atur,0.0
317,ayer,0.0
318,back,0.0
319,base,0.0
322,been,0.0
323,before,0.0
324,being,0.0
298,arge,0.0
296,aren,0.0
267,actu,0.0
295,are,0.0
269,again,0.0
270,against,0.0
271,ages,0.0
272,ain,0.0
273,akes,0.0
274,akin,0.0
275,alit,0.0
276,all,0.0
277,alle,0.0
278,allo,0.0
281,am,0.0
284,ance,0.0
285,and,0.0
287,angu,0.0
288,anot,0.0
289,answ,0.0
290,anti,0.0
292,appe,0.0
294,arch,0.0
169,NN_TO_VB_DT,0.0
167,NN_PRP_VBP,0.0
326,below,0.0
48,Double Hyphens,0.0
55,G,0.0
58,Has URLs,0.0
60,I,0.0
61,IN_DT_JJ,0.0
62,IN_DT_JJ_NN,0.0
63,IN_DT_JJ_NNS,0.0
64,IN_DT_NN,0.0
65,IN_DT_NNP,0.0
66,IN_DT_NNP_NN,0.0
67,IN_DT_NNP_NNP,0.0
69,IN_DT_NNS_IN,0.0
70,IN_DT_NN_CC,0.0
71,IN_DT_NN_IN,0.0
73,IN_DT_NN_PRP,0.0
74,IN_DT_NN_RB,0.0
76,IN_DT_NN___END__,0.0
79,IN_JJ_NNS_IN,0.0
81,IN_NNP_NNP_NNP,0.0
85,IN_NN_NN,0.0
51,Exclamations,0.0
45,DT_NN___END__,0.0
89,IN_PRP_VBD,0.0
44,DT_NN_VBZ_RB,0.0
2,B,0.0
8,D,0.0
10,DT_JJ_JJ_NN,0.0
13,DT_JJ_NNS_IN,0.0
17,DT_JJ_NN_TO,0.0
18,DT_JJ_NN_VBZ,0.0
21,DT_NNP_NNP,0.0
23,DT_NNS_IN_DT,0.0
25,DT_NN_IN,0.0
27,DT_NN_IN_JJ,0.0
29,DT_NN_IN_NNP,0.0
30,DT_NN_IN_NNS,0.0
32,DT_NN_IN_PRP$,0.0
33,DT_NN_IN_VBG,0.0
34,DT_NN_MD_VB,0.0
38,DT_NN_PRP,0.0
40,DT_NN_TO,0.0
41,DT_NN_TO_VB,0.0
43,DT_NN_VBZ_DT,0.0
87,IN_PRP$_NN,0.0
91,IN_PRP_VBZ,0.0
166,NN_PRP_MD_VB,0.0
128,NNP_IN_NNP,0.0
131,NNP_NNP_NNP_NNP,0.0
132,NNS_IN_DT,0.0
134,NNS_IN_DT_NN,0.0
136,NN_CC_DT,0.0
137,NN_CC_DT_NN,0.0
138,NN_CC_NN,0.0
139,NN_DT_NN,0.0
140,NN_IN_DT,0.0
141,NN_IN_DT_JJ,0.0
142,NN_IN_DT_NN,0.0
143,NN_IN_DT_NNP,0.0
144,NN_IN_DT_NNS,0.0
146,NN_IN_JJ_NN,0.0
147,NN_IN_JJ_NNS,0.0
150,NN_IN_NNP_NNP,0.0
152,NN_IN_NN_CC,0.0
154,NN_IN_NN_NN,0.0
158,NN_IN_PRP$_NN,0.0
159,NN_IN_PRP_VBP,0.0
129,NNP_NNP_IN,0.0
127,NNP_IN_DT,0.0
92,IN_VBG_DT_NN,0.0
126,NNP_CC_NNP,0.0
93,J,0.0
95,JJ_IN_DT_NN,0.0
96,JJ_JJ_NN,0.0
97,JJ_NNS_IN,0.0
101,JJ_NN_IN,0.0
102,JJ_NN_IN_DT,0.0
103,JJ_NN_IN_NN,0.0
104,JJ_NN_IN_NNP,0.0
107,JJ_NN_VBZ,0.0
109,JJ_TO_VB,0.0
110,K,0.0
111,L,0.0
114,M,0.0
115,MD_RB_VB,0.0
117,MD_VB_DT_NN,0.0
118,MD_VB_IN,0.0
120,MD_VB_VBN_IN,0.0
122,Mean Word Length,0.0
125,N,0.0
325,beli,0.0
329,bjec,0.0
569,lica,0.0
482,having,0.0
485,heor,0.0
486,her,0.0
487,here,0.0
488,hers,0.0
489,herself,0.0
490,high,0.0
491,hild,0.0
492,hilo,0.0
493,him,0.0
494,himself,0.0
496,hink,0.0
497,his,0.0
498,hist,0.0
500,hout,0.0
503,hris,0.0
506,ical,0.0
507,icat,0.0
508,icul,0.0
509,idea,0.0
484,help,0.0
481,haven't,0.0
513,ient,0.0
480,haven,0.0
456,fini,0.0
460,form,0.0
461,from,0.0
462,further,0.0
463,game,0.0
464,gene,0.0
465,give,0.0
466,goin,0.0
467,good,0.0
468,gree,0.0
470,had,0.0
471,hadn,0.0
472,hadn't,0.0
473,hand,0.0
474,hang,0.0
475,happ,0.0
477,hasn,0.0
478,hasn't,0.0
479,have,0.0
512,ienc,0.0
514,ieve,0.0
453,ffic,0.0
544,isti,0.0
546,it,0.0
548,ited,0.0
549,ithe,0.0
550,itho,0.0
551,itio,0.0
552,its,0.0
553,itself,0.0
554,iver,0.0
555,ject,0.0
557,king,0.0
559,lace,0.0
560,lang,0.0
561,late,0.0
562,lati,0.0
563,laye,0.0
565,leas,0.0
566,lect,0.0
567,less,0.0
568,lete,0.0
545,isto,0.0
543,iste,0.0
518,ight,0.0
542,isn't,0.0
519,ilit,0.0
520,ilos,0.0
521,imes,0.0
522,impl,0.0
523,impo,0.0
524,in,0.0
525,inal,0.0
526,ince,0.0
527,incl,0.0
528,indi,0.0
530,ines,0.0
532,init,0.0
533,inst,0.0
536,iona,0.0
537,ions,0.0
538,ious,0.0
539,irst,0.0
540,is,0.0
541,isn,0.0
455,find,0.0
451,ffec,0.0
330,blem,0.0
361,cont,0.0
363,couldn,0.0
364,couldn't,0.0
365,coun,0.0
366,cour,0.0
367,crea,0.0
368,cted,0.0
369,ctio,0.0
370,ctiv,0.0
371,ctly,0.0
372,ctua,0.0
373,cula,0.0
374,d,0.0
375,defi,0.0
376,dent,0.0
377,ders,0.0
378,did,0.0
379,didn,0.0
380,didn't,0.0
383,disc,0.0
362,coul,0.0
359,conf,0.0
386,does,0.0
358,cond,0.0
331,book,0.0
332,both,0.0
336,can,0.0
337,case,0.0
338,cate,0.0
339,cati,0.0
340,cent,0.0
341,cept,0.0
343,cess,0.0
345,char,0.0
346,chil,0.0
347,chin,0.0
348,chri,0.0
350,cien,0.0
351,cifi,0.0
352,clea,0.0
353,clud,0.0
355,comm,0.0
356,comp,0.0
384,diti,0.0
387,doesn,0.0
450,few,0.0
418,enta,0.0
423,eopl,0.0
424,equi,0.0
425,eral,0.0
426,erat,0.0
429,erso,0.0
430,erst,0.0
431,erta,0.0
432,esen,0.0
433,esse,0.0
434,essi,0.0
436,eter,0.0
437,ethe,0.0
438,ethi,0.0
439,ette,0.0
440,evel,0.0
444,exis,0.0
446,expl,0.0
447,fact,0.0
448,fect,0.0
421,entl,0.0
417,ensi,0.0
388,doesn't,0.0
416,ense,0.0
389,doing,0.0
390,don,0.0
392,down,0.0
393,during,0.0
394,each,0.0
395,eall,0.0
396,eans,0.0
398,ears,0.0
401,eate,0.0
402,ecom,0.0
403,econ,0.0
404,ecti,0.0
407,efin,0.0
408,eith,0.0
409,elat,0.0
410,elec,0.0
411,elie,0.0
414,ende,0.0
415,ener,0.0
937,ythi,0.0
